areaType,areaName,areaCode,date,covidOccupiedMVBeds
overview,United Kingdom,K02000001,2020-10-16,592
overview,United Kingdom,K02000001,2020-10-15,581
overview,United Kingdom,K02000001,2020-10-14,563
overview,United Kingdom,K02000001,2020-10-13,516
overview,United Kingdom,K02000001,2020-10-12,507
overview,United Kingdom,K02000001,2020-10-11,477
overview,United Kingdom,K02000001,2020-10-10,470
overview,United Kingdom,K02000001,2020-10-09,440
overview,United Kingdom,K02000001,2020-10-08,436
overview,United Kingdom,K02000001,2020-10-07,442
overview,United Kingdom,K02000001,2020-10-06,410
overview,United Kingdom,K02000001,2020-10-05,393
overview,United Kingdom,K02000001,2020-10-04,369
overview,United Kingdom,K02000001,2020-10-03,369
overview,United Kingdom,K02000001,2020-10-02,368
overview,United Kingdom,K02000001,2020-10-01,341
overview,United Kingdom,K02000001,2020-09-30,332
overview,United Kingdom,K02000001,2020-09-29,314
overview,United Kingdom,K02000001,2020-09-28,297
overview,United Kingdom,K02000001,2020-09-27,271
overview,United Kingdom,K02000001,2020-09-26,256
overview,United Kingdom,K02000001,2020-09-25,262
overview,United Kingdom,K02000001,2020-09-24,243
overview,United Kingdom,K02000001,2020-09-23,228
overview,United Kingdom,K02000001,2020-09-22,211
overview,United Kingdom,K02000001,2020-09-21,181
overview,United Kingdom,K02000001,2020-09-20,162
overview,United Kingdom,K02000001,2020-09-19,141
overview,United Kingdom,K02000001,2020-09-18,138
overview,United Kingdom,K02000001,2020-09-17,127
overview,United Kingdom,K02000001,2020-09-16,124
overview,United Kingdom,K02000001,2020-09-15,115
overview,United Kingdom,K02000001,2020-09-14,105
overview,United Kingdom,K02000001,2020-09-13,91
overview,United Kingdom,K02000001,2020-09-12,85
overview,United Kingdom,K02000001,2020-09-11,77
overview,United Kingdom,K02000001,2020-09-10,78
overview,United Kingdom,K02000001,2020-09-09,80
overview,United Kingdom,K02000001,2020-09-08,80
overview,United Kingdom,K02000001,2020-09-07,77
overview,United Kingdom,K02000001,2020-09-04,69
overview,United Kingdom,K02000001,2020-09-03,76
overview,United Kingdom,K02000001,2020-09-02,81
overview,United Kingdom,K02000001,2020-09-01,82
overview,United Kingdom,K02000001,2020-08-31,69
overview,United Kingdom,K02000001,2020-08-30,66
overview,United Kingdom,K02000001,2020-08-29,64
overview,United Kingdom,K02000001,2020-08-28,60
overview,United Kingdom,K02000001,2020-08-27,71
overview,United Kingdom,K02000001,2020-08-26,64
overview,United Kingdom,K02000001,2020-08-25,68
overview,United Kingdom,K02000001,2020-08-24,68
overview,United Kingdom,K02000001,2020-08-23,72
overview,United Kingdom,K02000001,2020-08-22,71
overview,United Kingdom,K02000001,2020-08-21,72
overview,United Kingdom,K02000001,2020-08-20,76
overview,United Kingdom,K02000001,2020-08-19,70
overview,United Kingdom,K02000001,2020-08-18,73
overview,United Kingdom,K02000001,2020-08-17,73
overview,United Kingdom,K02000001,2020-08-16,78
overview,United Kingdom,K02000001,2020-08-15,76
overview,United Kingdom,K02000001,2020-08-14,73
overview,United Kingdom,K02000001,2020-08-13,75
overview,United Kingdom,K02000001,2020-08-12,80
overview,United Kingdom,K02000001,2020-08-11,73
overview,United Kingdom,K02000001,2020-08-10,70
overview,United Kingdom,K02000001,2020-08-09,64
overview,United Kingdom,K02000001,2020-08-08,61
overview,United Kingdom,K02000001,2020-08-07,67
overview,United Kingdom,K02000001,2020-08-06,69
overview,United Kingdom,K02000001,2020-08-05,73
overview,United Kingdom,K02000001,2020-08-04,76
